location,text,hashtags,tweetcreatedts
"San Francisco, CA","Stephen Miller has COVID-19.

Our deepest condolences go out to all the families who have been separated, to those who have been dehumanized by Trump's horrific immigration policies, and to the migrants in detention centers who have been forgotten during this health pandemic.",[],2020-10-06 23:33:03
"Los Angeles, CA","Stephen Miller tests positive for Covid-19.
My mom: BINGO!",[],2020-10-06 23:33:02
"Chicago, IL","Though there is much discussion of the #cloud in #manufacturing, its use is not as widespread as it might appear; the #pandemic may prompt expanded use. https://t.co/KsneiQdPGS https://t.co/Js02lMul7g","[{'text': 'cloud', 'indices': [39, 45]}, {'text': 'manufacturing', 'indices': [49, 63]}, {'text': 'pandemic', 'indices': [118, 127]}]",2020-10-06 23:33:02
New York City,"Donald Trump's Minister of Hate, Stephen Miller, has COVID-19, White House says.",[],2020-10-06 23:33:01
"New York Back the ""f"" off 😖","Stephen Miller has tested positive for #Covid_19 . His condition does not negate the fact that he is a white nationalist who has advocated racist and human rights violating immigration policies..... Time to log off.... 

https://t.co/fJRZH4COPq","[{'text': 'Covid_19', 'indices': [59, 68]}]",2020-10-06 23:33:01
"New York, NY","Shut out of schools because of COVID-19, many education researchers say their work is ‘in shambles’ https://t.co/1ivQYmVAEz",[],2020-10-06 23:33:00
"Chicago, IL","Please help me by retweeting this video and share it ti everyone to spread awareness on covid-19 . tired of seeing people dying , i have to try and do whatever i can to help and i think this is my way to help to share my story of how i survived covid-19 .

https://t.co/B0Cbc2VI8n",[],2020-10-06 23:33:00
NEW YORK CITY,BREAKING: White supremacist and top Trump advisor Stephen Miller has tested positive for Covid-19.,[],2020-10-06 23:33:00
"Chicago, IL","BREAKING: President Trump is taking his COVID-19 quarantine so seriously, that he won't be leaving the White House until January 20th, 2025.",[],2020-10-06 23:32:59
"New York, New York","And now 17, that’s SEVENTEEN, individuals linked to WH and campaign who have tested positive for covid-19.",[],2020-10-06 23:32:57
"Los Angeles, CA",BREAKING: Trump said he has instructed aides to stop negotiating on another round of COVID-19 relief until after the Nov. 3 election https://t.co/fXmrL9bCUs,[],2020-10-06 23:32:55
"Miami, FL","Foreign policy insight: Trump's COVID-19 superspreader events at the White House replicate ancient Mesopotamia's (Iraq) burial practices of interring the entire court with outgoing king or queen in ritual suicide.
https://t.co/YTu076pAhF",[],2020-10-06 23:32:55
New York City,"When you die of COVID-19, you die alone. https://t.co/egpA4u9tNT",[],2020-10-06 23:32:55
"Los Angeles, CA","There are now more recorded cases of COVID-19 in the White House than in New Zealand, Taiwan, and Vietnam combined, and they have 124 million people.

Let that sink in.",[],2020-10-06 23:32:53
"Chicago, IL",BREAKING: White supremacist and top Trump advisor Stephen Miller has tested positive for Covid-19.,[],2020-10-06 23:32:52
"New York Back the ""f"" off 😖","The racist xenophobic sociopath who brought America kids in cages, ICE round ups, Trump’s concentration camps, the end of the American dream for immigrants, #SatansSnotRag IS POSITIVE FOR #Covid_19. Karma is kicking him now.
https://t.co/38NLCGbV6N",[],2020-10-06 23:32:52
"New York, USA","@DonaldJTrumpJr @realDonaldTrump @FoxNews @JoeBiden “The murder rate is up, and more cops have died of COVID-19 this year than on patrol. Yet, despite all that, Donald Trump has continued to insist he is the law and order president without condemning violence, providing a plan to control COVID-19, or a path for economic recovery.”",[],2020-10-06 23:32:50
"Florida, USA Via New York","NEW

Statement from @JoeBiden on President Trump Canceling Negotiations for COVID-19 Relief:

""To deliver for the people of this country. That’s what I will do as president. And it’s what Donald Trump has again made clear he has no intention of doing ever.""

Full statement below. https://t.co/RONhGQ7oxn",[],2020-10-06 23:32:44
