location,text,hashtags,tweetcreatedts
"New York, NY","Every pandemic begins with a pathogen. 

The pathogen has a name.

Trump.
https://t.co/oWrkFbtPev",[],2020-10-11 19:25:14
"San Francisco, California","#MoscowMitch has had the Heroes Act on the Senate floor.  He has no intention of helping Americans who are suffering due to mishandling of the Response to the Covid pandemic.
But he will find time to confirm an unqualified SCOTUS Judge.
#FreshTweets
#OneV1 https://t.co/VYhAg2eEIo","[{'text': 'MoscowMitch', 'indices': [21, 33]}]",2020-10-11 19:25:12
New York,"It’s sad that the annual Columbus Day parade is virtual this year and won’t go on as usual.. Then again, Gov. Cuomo was named this year’s grand marshal for his “strong leadership during the Covid-19 pandemic”, so maybe we are better off. https://t.co/IJ5yumxEBr",[],2020-10-11 19:25:09
New York,"Trump Claims He is Immune From COVID-19, Says He Has ""Protective Glow"" https://t.co/tfxrkf7jLS",[],2020-10-11 19:25:02
Los Angeles,"Save the date! October 22 and 23 join us in our mission to help indigenous people affected by Covid-19. We are all in this together.⁠⠀
#PlanetGLiESE #IndigenousPeople #Covid19Relief #OnLineFestival #JoinUs https://t.co/rX2isbNQNh","[{'text': 'PlanetGLiESE', 'indices': [135, 148]}, {'text': 'IndigenousPeople', 'indices': [149, 166]}, {'text': 'Covid19Relief', 'indices': [167, 181]}, {'text': 'OnLineFestival', 'indices': [182, 197]}, {'text': 'JoinUs', 'indices': [198, 205]}]",2020-10-11 19:25:00
New York  United  States,"3 deaths, 640 new cases of COVID-19 in ND; active cases are 4,426 | KX NEWS https://t.co/lG1ECEeyyG",[],2020-10-11 19:24:58
Somewhere near Chicago,"That is routine fake billionaire head-of-state government healthcare plan for $750 with a dozen fawning doctors, world class hospital, experimental therapies on demand, free helicopter ambulance, and 24/7 in-home medical team!
#resist #mepolitics #coronavirus #VoteBidenHarris2020 https://t.co/uZpoXv2Yg5",[],2020-10-11 19:24:58
Los Angeles,"In an unprecedented move, the editors of the New England Journal of Medicine have condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office https://t.co/xnM5X4Yi85",[],2020-10-11 19:24:54
"New York, USA","Lockdowns are not the answer to stopping COVID-19. 

Yesterday, even Dr. David Nabarro from the WHO told world leaders to stop using lockdowns as their primary method to control the spread of this virus.

It is simply not sustainable in the long run.",[],2020-10-11 19:24:51
"New York, NY","New study shows #COVID19 is taking extreme toll on #DREAMers’ jobs, anxiety https://t.co/9GKnDtURMb","[{'text': 'COVID19', 'indices': [16, 24]}, {'text': 'DREAMers', 'indices': [51, 60]}]",2020-10-11 19:24:40
"New York, NY",@Bernieisabum @Kathlee71013772 @awesty73 @NYGovCuomo Exactly. Every state has many health issues. Which is why adding Covid-19 to an already stressed ecosystem is bad for everyone and horrible for the economy. So #WearAMask so less people need to wear a hospital gown (like the President) or worse,"[{'text': 'WearAMask', 'indices': [213, 223]}]",2020-10-11 19:24:40
"Chicago, IL","The 56th annual Chicago International Film Festival will launch virtually from Oct.14 through Oct.25 amid the restrictions of Covid-19. 

https://t.co/9y9JX7mw2M",[],2020-10-11 19:24:39
Miami Beach,"Every moment of #freedom is a moment sublime
Life's just moments forming a line
Every moment is precious
Every moment divine
So moment by moment #captivity is a crime
When #lockdown is over I hope we define
Their right to freedom as equal to mine
@Protect_Wldlife @Ivy_MiddletonUK https://t.co/hmTqfLi1mG","[{'text': 'freedom', 'indices': [37, 45]}]",2020-10-11 19:24:36
"Los Angeles, CA","I think Trump, Hope Hicks, &amp; others, that claimed to have caught COVID-19, are part of a big con Trump and company were trying to run on American voters. It failed, because as soon as you ask for medical documents, it falls apart. Like every Trump con, NO DOCUMENTS, JUST TALK! https://t.co/1ZkuaD5X8e",[],2020-10-11 19:24:26
Chicago,"WATCH: Dr David Nabarro, the WHO's Special Envoy on Covid-19, tells Andrew Neil: 'We really do appeal to all world leaders: stop using lockdown as your primary control method'. Watch the full interview here: https://t.co/XLdaedsKVS #SpectatorTV @afneil | @davidnabarro https://t.co/1M4xf3VnXQ",[],2020-10-11 19:24:22
"New York, NY","Telling my kids I survived 3 global pandemics...

Swine Flu
Ebola
COVID-19",[],2020-10-11 19:24:22
"New York, NY","@NYGovCuomo What happened to listen to the experts, asshole? https://t.co/Zr0wk27C5K",[],2020-10-11 19:24:16
"New York, NY",No more snow days after COVID-19? These schools used online learning to cancel them. https://t.co/8ZYar2Ocgg via @USATODAY,[],2020-10-11 19:24:15
New York  United  States,"France reports 16,101 new #coronavirus cases in 24 hours https://t.co/eq6CONDuRk","[{'text': 'coronavirus', 'indices': [41, 53]}]",2020-10-11 19:24:15
"Long Island, New York","To those who believe the #coronavirus is like the flu -  
‘I Feel Like I Have Dementia’: Brain Fog Plagues Covid Survivors 
https://t.co/87itIVu1Mu","[{'text': 'coronavirus', 'indices': [25, 37]}]",2020-10-11 19:24:14
University of Chicago,"Make sense of an uncertain election that involves a sick president, and understand what happens next. 

https://t.co/FNzyqmgynb",[],2020-10-11 19:24:00
New York,"Now, let's get to Covid-19

First issue, he used the IC model from Ferguson to convince Trump to lockdown

""The steep curve with 2.2 million deaths was not from Dr. Fauci, however, but from Neal Ferguson’s team at Imperial College""

16
https://t.co/fAInFVOWLA",[],2020-10-11 19:24:00
"Los Angeles, CA","An @emirates from Dubai lands in Harare this afternoon, its first flight here in six months. Zimbabwe resumed full international flights today, lifting COVID-19 travel restrictions. Fastjet, Ethiopian &amp; Emirates make flights today. @FlyRwandAir flies again to Zimbabwe on Friday https://t.co/J7SUrkJlJI",[],2020-10-11 19:23:56
New York,"Next, together with NIH Director Francis Collins and Larry Corey from FredHutch, they created the US Covid-19 Strategy

They wrote this paper to detail their plan

They convinced Trump to mobilize govt, pharma and academia to go all in on a vaccine

17
https://t.co/fanZ632O4Y",[],2020-10-11 19:23:52
"Los Angeles, CA","Healthcare is not a right for Americans, but owning a gun is.

Just how the fuck does this make sense?

Seniors on Medicare Who Fall Ill With COVID-19 Could Face Catastrophic Bills @themotleyfool #stocks  https://t.co/lMod8zQmiY https://t.co/DLpjKiGaWh",[],2020-10-11 19:23:50
"Boston, Ma & New York, NY",@insidethebadge @realDonaldTrump @Twitter @POTUS According to the #DemocratS All of SUDDEN IS THE VICTIMS FAULT THEY GOT THE #VIRUS #CHINA SHIPPED -Spread ALL #EARTH FOR #economy #TRADE #POWERandCONTROL DRAGON 🐉 HUNGRY🤑😷🤮☠️🌏👈💉🩸🧬🦠🧫🕳poof✨just like that GONE🕳,"[{'text': 'DemocratS', 'indices': [66, 76]}, {'text': 'VIRUS', 'indices': [125, 131]}, {'text': 'CHINA', 'indices': [132, 138]}, {'text': 'EARTH', 'indices': [159, 165]}, {'text': 'economy', 'indices': [170, 178]}, {'text': 'TRADE', 'indices': [179, 185]}, {'text': 'POWERandCONTROL', 'indices': [186, 202]}]",2020-10-11 19:23:48
"New York, NY","Donald Trump is not 'over' COVID-19, he's facing the most critical point in the disease right now https://t.co/E2NMTV5VyO",[],2020-10-11 19:23:47
Miami,"As students slowly return to the classroom, health experts have released ways how they can stay healthy during the COVID-19 pandemic. https://t.co/KiTZuuG5nh",[],2020-10-11 19:23:47
Western New York,Flu vs COVID-19 https://t.co/lk7Lqr2mPF,[],2020-10-11 19:23:44
Rochester New York ,Dr. Conley STILL refuses to say whether Trump has tested negative for Covid-19. Pass it on.,[],2020-10-11 19:23:42
"New York, USA","@mmpadellan @Moosewakker @realDonaldTrump Trump damages to science could take us decades to recover.

He has:
&gt;Increased the pandemic (212,000+ COVID-19 deaths) in the US
&gt;Rolled back environmental &amp; public-health regulations
&gt;Undermined science &amp; scientific institutions.

Some of the harm could be permanent.

Vote BLUE",[],2020-10-11 19:23:28
New York City.,"Inhaled Vaccines Aim to Fight Coronavirus at Its Point of Attack  [""https://t.co/01Q6VLYR4Z""]",[],2020-10-11 19:23:27
Chumash-Tongvaland/Los Angeles,"CFP: Copyright Under Covid-19 in Film and Media Studies 
Editors Kirsten Moana Thompson and @bkredell 

The JCMS Teaching Media Dossier solicits 250-word proposals for short articles on approaching the legal issue of copyright as learning moved online.

Deadline: Oct 1, 2020. https://t.co/OrHo4idnqR",[],2020-10-11 19:23:25
"New York , USA","Telling my kids I survived 3 global pandemics...

Swine Flu
Ebola
COVID-19",[],2020-10-11 19:23:23
"Chicago, IL","#Florida sent letters to 100,000 businesses and entities registered as vendors with the state in June, asking if they were “owned or controlled by the Communist Party of China.” 

#resist #coronavirus #waste https://t.co/dYCPzRXLS0","[{'text': 'Florida', 'indices': [20, 28]}]",2020-10-11 19:23:20
New York City,Tech employees fleeing the Bay Area to work remotely are facing a new reality: pay cuts https://t.co/aVwWTsQxa9,[],2020-10-11 19:23:15
"Chicago, IL","It’s weird to think if the whole world would just quarantine together, at the same time.. we could naturally crush covid -19 in under a month but instead we just keep passing it around ruining our lives, putting people in peril &amp; creating a shitty mood generally, maybe forever.",[],2020-10-11 19:23:12
