location,text,hashtags,tweetcreatedts
"New York, NY","**New @hrw and Johns Hopkins report**

Covid-19 and its economic impact in Latin America have pushed 130,000+ Venezuelans back. At home they face abuse, testing delays, and unsanitary conditions that are likely to amplify the transmission of Covid-19. 

https://t.co/IqBeLUHMHU https://t.co/7iEFrnaeeY",[],2020-10-13 16:36:15
"New York, USA",Johnson &amp; Johnson pauses covid-19 vaccine study for 'unexplained illness'  - https://t.co/f2YC4Atid9,[],2020-10-13 16:36:14
"New York, New York","This is why we took action. It worked. It’s also why we need you to do everything you can to slow the spread of COVID-19.

Practice social distancing. Wash your hands frequently. Mask up. We’ve come too far to lose all of the progress we’ve made. https://t.co/H6mPWUIb8v",[],2020-10-13 16:36:12
"Los Angeles, CA USA","@realDonaldTrump NO THANKS, YOU IDIOT PRESIDENT!  I DON'T WANT TO GET COVID-19 https://t.co/eSIUA1VQ0C",[],2020-10-13 16:36:10
"New York, USA","Based upon the impact the New York lockdown and resulting sociology-economic crisis that has ensued in my hometown, I’d say this was a no-brainer of a conclusion. https://t.co/eDyr8zhNec",[],2020-10-13 16:36:09
Miami,"‼️@SenJoniErnst is a #coronavirus death toll denier whose blind loyalty to Trump helped turn #Iowa into a #COVID19 hot zone.

Time to say bye-bye to Joni.👋🏼

#ByeJoni @MeidasTouch #GOPSuperSpreaders #VOTE 
 https://t.co/8gDAU722GF","[{'text': 'coronavirus', 'indices': [40, 52]}, {'text': 'Iowa', 'indices': [112, 117]}, {'text': 'COVID19', 'indices': [125, 133]}]",2020-10-13 16:36:07
New York City,"To everyone who is barely hanging onto their homes, who has lost a loved one to COVID-19, who has no way to pay the bills: know that instead of voting to provide relief you desperately need, Senate Republicans today are choosing to hold a hearing to confirm a judge.",[],2020-10-13 16:36:07
"Los Angeles, CA","USA TODAY: Cristiano Ronaldo tests positive for COVID-19

https://t.co/Z8xfHnDd6s",[],2020-10-13 16:35:59
San Francisco,"https://t.co/04v8Z6PbbI “Most of all, it’s about how this United States, this oh so great country of God, can’t understand the difference between liberty and entitlement.”",[],2020-10-13 16:35:59
"New York, USA",Mike Lee says the purpose of government is to protect life… as he delivers a maskless speech in an indoor hearing room after testing positive for COVID-19.,[],2020-10-13 16:35:57
"New York, USA","Rudy Giuliani, campaigning for Trump on Oct. 12: “People don’t die from this disease [COVID-19] anymore.” A lethally dangerous lie.",[],2020-10-13 16:35:57
"Los Angeles, CA",Banks &amp; large corporations received the biggest handouts in COVID-19 relief. BILLIONS in handouts. Nothing was learned from 2008. This pandemic has only made rich people richer &amp; made poor people poorer.. While telling poor people to pull themselves up by their bootstraps. https://t.co/TUD1y0hjNK,[],2020-10-13 16:35:54
