location,text,hashtags,tweetcreatedts
"San Francisco, California","NBC is rewarding Trump for his irresponsible behavior. He just got out of the hospital with coronavirus, still hasn’t been wearing a mask, and has been spreading lies and misinformation about Covid-19 at daily campaign rallies with no social distancing. https://t.co/pFCdc59Wt3",[],2020-10-14 23:02:08
Brooklyn New York,Staying at a hotel during COVID-19? Read this first.  https://t.co/FOPjiUz3V2 #travelcomesback #covid19travel https://t.co/g9V6d2TJtp,"[{'text': 'travelcomesback', 'indices': [78, 94]}, {'text': 'covid19travel', 'indices': [95, 109]}]",2020-10-14 23:02:02
New York,"After COVID-19 hit, this lunch lady decided to go the extra mile to help keep kids smiling. https://t.co/gtbowo3zfZ",[],2020-10-14 23:02:00
New York and LA,"Amy Coney Barrett will admit that COVID-19 is infectious. She’ll admit that smoking causes cancer. But whether climate change is real? 

Apparently that’s up for debate.",[],2020-10-14 23:01:56
"Chicago, Illinois","Experiencing more irritation and breakouts than usual? Masks have become an essential everyday accessory to help reduce the spread of Covid-19. Mask acne has become common, and we have everything you need! Check out our new blog post via the link below: 
https://t.co/LnlNA0wrL7 https://t.co/RSfyqHCxzt",[],2020-10-14 23:01:46
"New York, NY",University of Alabama just announced that Nick Saban and AD Greg Byrne have tested positive for COVID-19.,[],2020-10-14 23:01:45
Los Angeles,"Latino voters are looking for real solutions that improve their lives. We must:

1. Increase the min wage to $15/hr
2. Expand access to higher ed
3. Provide healthcare to all, including undocumented workers
4. Protect frontline workers from COVID-19
 
https://t.co/8agT6lNOJV https://t.co/tnHqwAG3cn",[],2020-10-14 23:01:44
"New York, USA","#health #loseweight ""Trump May Be Immune to the Coronavirus. But for How Long?"" https://t.co/yL25Aaif1c","[{'text': 'health', 'indices': [0, 7]}, {'text': 'loseweight', 'indices': [8, 19]}]",2020-10-14 23:01:44
"New York, NY",The Key Differences Between COVID-19 Versus a Sinus Infection https://t.co/cx6smtdPLP,[],2020-10-14 23:01:41
New York,"If President Trump has his way in the U.S. Supreme Court, long-term complications from COVID-19, like lung scarring and heart damage, will become pre-existing conditions that could result in higher premiums or denied coverage.

It’s unconscionable.",[],2020-10-14 23:01:39
"San Francisco, CA",No ICU beds left in Oklahoma City because of Covid-19: NBC,[],2020-10-14 23:01:36
"Long Island, New York","Happy #PrimeDay! Jeff Bezos could give every Amazon employee $105,000 and still be as rich as he was before the pandemic.

Instead he's denying hazard pay and paid sick leave to his employees — and has already subjected more than 19,000 warehouse workers to COVID-19.","[{'text': 'PrimeDay', 'indices': [19, 28]}]",2020-10-14 23:01:33
"Los Angeles, CA","If President Trump has his way in the U.S. Supreme Court, long-term complications from COVID-19, like lung scarring and heart damage, will become pre-existing conditions that could result in higher premiums or denied coverage.

It’s unconscionable.",[],2020-10-14 23:01:28
"New York, NY",The Wisconsin bar owner who hosted the chummy Axios interview w/ Donald Trump Jr back in March now has Covid and wants to punch the President. https://t.co/7L8NsWQmph,[],2020-10-14 23:01:21
"Queens, New York","Alabama football coach Nick Saban, athletic director Greg Byrne test positive for COVID-19 - via @ESPN App https://t.co/joXrzYwzhK",[],2020-10-14 23:01:20
"Los Angeles,Ca","@oddlee_enough @davenewworld_2 Quote from CDC “Estimates of excess deaths can provide information about the burden of mortality potentially related to the COVID-19 pandemic, including deaths that are directly or indirectly attributed to COVID-19. “",[],2020-10-14 23:01:19
"New York, NY","If President Trump has his way in the U.S. Supreme Court, long-term complications from COVID-19, like lung scarring and heart damage, will become pre-existing conditions that could result in higher premiums or denied coverage.

It’s unconscionable.",[],2020-10-14 23:01:13
"Los Angeles, CA",#HerdImmunity is a lazy strategy to fight COVID https://t.co/emuVk5b9YC,"[{'text': 'HerdImmunity', 'indices': [20, 33]}]",2020-10-14 23:01:13
Los Angeles,"Showtime's TV adaptation of Bill Clinton and James Patterson's book ""The President Is Missing"" is no longer moving forward. Star Ann Dowd said that a combination of COVID-19 and current political events killed the project. Exclu with @marcmalkin: https://t.co/P1uQu5kW2D",[],2020-10-14 23:01:07
Chicago,"The Panthers began taking precautionary measures after being exposed to a player Sunday who’s since tested positive for the coronavirus. The Bears play Carolina on Sunday. 
https://t.co/YIbUIl46A7",[],2020-10-14 23:01:00
Buffalo New York,"FALL SPOTLIGHT | @EphSports running back Joel Nicholas is a member of a COVID-19 Phone Call Response Team. A group of churches in the Buffalo, NY area that reaches out to assist residents in obtaining food, medications, COVID tests, and more.

🔗 &gt; https://t.co/GYKM97WGN9 https://t.co/TixEHnWfE1",[],2020-10-14 23:01:00
"Elba, New York","Great piece by @WHEC_cmolineaux on discrepancies from county to county on close or proximate contacts, as well as the ongoing reporting that isn’t consistent too.  Thanks @robertnlowry for representing @NYSchoolSupts. #Followthesameguidance https://t.co/yXMqvtFrnj","[{'text': 'Followthesameguidance', 'indices': [218, 240]}]",2020-10-14 23:00:59
New York,"Obesity alters Ace2 and Tmprss2 expression in lung, trachea, and esophagus in a sex-dependent manner: Implications for COVID-19  https://t.co/maLVrWpOKQ #bioRxiv","[{'text': 'bioRxiv', 'indices': [153, 161]}]",2020-10-14 23:00:56
Los Angeles,"A Covid-19 vaccine may be widely available by April 2021, Dr. Anthony Fauci says https://t.co/CGZWQ5cKqG",[],2020-10-14 23:00:47
"Los Angeles, CA",Blood type could be linked to Covid-19 risk and severity. Download the app or click on https://t.co/P0yPFORPgF to read this article from CNN. https://t.co/6Kee7UwRm1,[],2020-10-14 23:00:45
"New York, NY","Amy Coney Barrett will admit that COVID-19 is infectious. She’ll admit that smoking causes cancer. But whether climate change is real? 

Apparently that’s up for debate.",[],2020-10-14 23:00:40
"Los Angeles, CA","You can read the story and watch the panel discussion here...

https://t.co/AKzYGg8u16",[],2020-10-14 23:00:37
New York City,"As a doctor who cares for #COVID19 patients the idea  #HerdImmunity through infection is alarming. It's been rejected by the head of the NIH as ""fringe,"" but is being embraced by the White House and @realDonaldTrump. Just what is herd immunity? 1/XX  https://t.co/jhoLhGyJT6","[{'text': 'COVID19', 'indices': [45, 53]}, {'text': 'HerdImmunity', 'indices': [73, 86]}]",2020-10-14 23:00:33
"Los Angeles, CA","Latino voters are looking for real solutions that improve their lives. We must:

1. Increase the min wage to $15/hr
2. Expand access to higher ed
3. Provide healthcare to all, including undocumented workers
4. Protect frontline workers from COVID-19
 
https://t.co/8agT6lNOJV https://t.co/tnHqwAG3cn",[],2020-10-14 23:00:31
