location,text,hashtags,tweetcreatedts
San Francisco,"@Scotttripps World Doctors Alliance Say This Affair w/Covid-19 Is NOT TRUE 
We can have a BETTER NORMAL not a New Normal.
Set up people's courts &amp; try the criminals who made the Covid Fraud—politicians, bankers, MSM, etc
Covid Tests Do Not Work!
https://t.co/DHLhw8V9ir",[],2020-10-17 19:50:47
Dubai/New York,#Herdimmunity without protection from the virus is dangerous and immoral. #COVID19,"[{'text': 'Herdimmunity', 'indices': [14, 27]}, {'text': 'COVID19', 'indices': [88, 96]}]",2020-10-17 19:50:46
New York,"In Jesus' Name we pray, Amen 
Lord.🤍
Let's pray for your grace, to help us hold on to our faith in Christ.
That we may continue to stay strong &amp; hopeful.
Knowing that God, will never give us more than we can bear.
May Christ, be our guide. 🙏✝️
#Prayer #love #Christ #coronavirus https://t.co/1yFK038qb1",[],2020-10-17 19:50:43
"Chicago, IL","Pandemic Day 666 ... So what's up with you today? 🖤
#GOODVIBESONLY #SaturdayThoughts #pandemic #2020challenge https://t.co/IV8fqSwmHT","[{'text': 'GOODVIBESONLY', 'indices': [52, 66]}, {'text': 'SaturdayThoughts', 'indices': [67, 84]}, {'text': 'pandemic', 'indices': [85, 94]}, {'text': '2020challenge', 'indices': [95, 109]}]",2020-10-17 19:50:36
"Los Angeles, CA","Working with the LA County Department of Public Health, 22 students are being trained as COVID-19 contact tracers for a hands-on internship and opportunity to work for the public good. https://t.co/FBZLU1bDM5",[],2020-10-17 19:50:34
"New York, NY","New Zealand: 

Winston Peters — deputy PM of New Zealand addresses an American COVID-19 denier at a press conference.

“Sit down. Sorry sunshine, wrong place.” https://t.co/8MSsFgWVoL",[],2020-10-17 19:50:18
"Los Angeles, CA",Netflix has paused filming on the upcoming Idris Elba Western 'The Harder They Fall' after a member of the production tested positive for COVID-19.​ https://t.co/hUnLz6P0Y4,[],2020-10-17 19:50:17
"Miami, FL",VILLAINS AGAINST COVID-19 https://t.co/oOt26NbBlK,[],2020-10-17 19:50:14
New York City,"Dr. Anthony Fauci tells @60Minutes COVID-19 numbers would have to ""get really, really bad"" before advocating national lockdown https://t.co/nS6GGx7MHr",[],2020-10-17 19:50:08
"San Francisco, CA","New Zealand: 

Winston Peters — deputy PM of New Zealand addresses an American COVID-19 denier at a press conference.

“Sit down. Sorry sunshine, wrong place.” https://t.co/8MSsFgWVoL",[],2020-10-17 19:50:05
New York,"One of the symptoms of Covid-19 is fatigue, and it's not the kind that can be fixed with a nap.

Here's how one patient learned to live with it: https://t.co/h181AkdjG6",[],2020-10-17 19:50:04
"Los Angeles, CA","Nigerian protesters have hit the streets for eight consecutive days to call for police reform and an end to police brutality. 

Since COVID-19 lockdowns began in the country in April, more Nigerians have died from security forces than by the virus. https://t.co/K7WbwmFa3W",[],2020-10-17 19:50:00
"Chicago, IL","Thank you so much to @ruqaiijah, @matiangai, and @ProfYolonda for joining @MartinsLynette and me for our Law and Bioethics Affinity group discussion on COVID-19 and social justice. It was a great discussion! #ASBH20. https://t.co/peqPNUh5fA","[{'text': 'ASBH20', 'indices': [208, 215]}]",2020-10-17 19:49:57
New York City,"Hunger in America 
More than 54 million people in the U.S. – including 18 million children – may face hunger because of COVID-19, U.S. faces shortage of up to 8 billion meals in next 12 months https://t.co/e0yB0JAnA7",[],2020-10-17 19:49:57
