location,text,hashtags,tweetcreatedts
"Colorado, Chicago, Wilmette ","@DougWernet @drorzel The good news is that despite COVID-19, @NationalLouisU has seen an increase in the number of teacher education applicants at both the undergraduate and graduate level for 2020-2021.",[],2020-10-10 16:21:23
"Los Angeles, CA",REMINDER: trump accused Gold Star families of giving him COVID-19 after he invited them to a mask-less super spreader event at the White House.,[],2020-10-10 16:21:17
"Los Angeles, CA",Covid-19 was spreading inside the country before anyone started looking. Here’s the data to prove it. https://t.co/G3f0iKHliR,[],2020-10-10 16:21:13
"Chicago, IL, USA","The science is clear: social distancing and wearing masks prevents the spread of COVID-19 and saves lives. As we head into fall and winter, we must follow the guidance of medical professionals like Dr. Fauci. Lives depend on it.
https://t.co/XnSarobgDy",[],2020-10-10 16:21:13
chicago,Covid-19 hearing loss: Mom loses hearing in one ear after mild Covid-19 infection https://t.co/VU0NXn1YQH,[],2020-10-10 16:21:08
Chicago,Trump Overstates Status of COVID-19 Antibody Drugs #TrumpIsKillingUs https://t.co/eM97O9x05a via @factcheckdotorg,"[{'text': 'TrumpIsKillingUs', 'indices': [51, 68]}]",2020-10-10 16:21:04
"Los Angeles, CA","NEW YORK (AP) — President Donald Trump said Thursday he doesn’t think he’s contagious anymore, but medical experts say that’s impossible to know a week after his diagnosis with COVID-19.
https://t.co/CfNSU3YZuV",[],2020-10-10 16:21:04
LOS ANGELES,"Some students want Notre Dame’s president to resign after he was seen without a mask at the White House SCOTUS ceremony. He later contracted Covid-19.

“To see him breaking his own rules … made us feel like we were disrespected as a student body,” student Ashton Weber says. https://t.co/8svwHR42gF",[],2020-10-10 16:21:01
"New York, NY","Check out CAP Pres @PatGodbeyMD's comments on @MedLitChick @CNN about the differences between PCR and antigen testing for COVID-19, as well as continuing difficulties in getting testing materials for PCR assays. #pathologists @CAPDCAdvocacy @Pathologists  https://t.co/FcCaqDN1ru",[],2020-10-10 16:20:52
Miami Beach SoBe La Playa,"Disclaimer for Trump's rally in Florida: ""You and any guests voluntarily assume all risks related to exposure to COVID-19, and waive, release, and discharge Donald J. Trump for President, Inc.; the host venue; or any of their affiliates ... from any and all liability.""",[],2020-10-10 16:20:43
San Francisco,"I demand that @LindseyGrahamSC be tested for Covid-19 by an impartial professional and that he reveal the results before he returns to the Senate in any capacity. Everyone at Amy Coney Barrett's hearing should also be tested and cleared. 

Re-tweet it you agree.",[],2020-10-10 16:20:39
"Los Angeles, CA",Follow our series exploring the causes of the Covid-19 catastrophe and the bungled response that followed https://t.co/w2PHP7jeLh,[],2020-10-10 16:20:38
Los Angeles,"&gt;&gt; @LorraineAli on Trump's televised doctor visit: ""The interview resembled the type of propaganda we’re used to seeing from foreign dictators, pumped out via state-sponsored media..."" https://t.co/kn9Cw8NrpK",[],2020-10-10 16:20:33
"Miami, FL",This year I’m telling my kids that Santa died from Covid-19,[],2020-10-10 16:20:31
"Chicago, IL","Today is World Mental Health Day. 

Due to #COVID19, we're facing an overlooked crisis: women’s mental health. Women were almost 3x more likely than men to report that their mental health has been impacted by the pandemic. https://t.co/8oxGNLNsjJ","[{'text': 'COVID19', 'indices': [59, 67]}]",2020-10-10 16:20:30
San Francisco Bay Area,"So the passing of my mom because of #COVID19 2 weeks ago still has me devastated. Lost mom, dad and sister all to #COVID__19 now our leaders are spreading it to the innocent families. They are so deplorable. #VoteThemAllOut2020 #coronavirus #CovidDeaths #SuperSpreader","[{'text': 'COVID19', 'indices': [57, 65]}]",2020-10-10 16:20:14
"Los Angeles, CA","Today I joined @SenatorLeahy and @SenBooker in demanding that all senators on the Judiciary committee get tested for COVID-19 ahead of the Supreme Court hearings.

This is the bare minimum to ensure the safety of members, our staff, and the Senate complex employees.",[],2020-10-10 16:20:08
"Miami, FL","This is an update on the total #covid19 deaths for states in the #UnitedStates.  Explore the numbers from Jan. to October.

See interactive visualization: https://t.co/xhhrKiN1oY

#coronavirus #NewYork #Texas #California #NewJersey #Florida #Massachusetts #Illinois #Pennsylvania https://t.co/smyaQ22HAd","[{'text': 'covid19', 'indices': [31, 39]}, {'text': 'UnitedStates', 'indices': [65, 78]}, {'text': 'coronavirus', 'indices': [180, 192]}, {'text': 'NewYork', 'indices': [193, 201]}, {'text': 'Texas', 'indices': [202, 208]}, {'text': 'California', 'indices': [209, 220]}, {'text': 'NewJersey', 'indices': [221, 231]}, {'text': 'Florida', 'indices': [232, 240]}, {'text': 'Massachusetts', 'indices': [241, 255]}, {'text': 'Illinois', 'indices': [256, 265]}, {'text': 'Pennsylvania', 'indices': [266, 279]}]",2020-10-10 16:20:08
"New York, NY","So the passing of my mom because of #COVID19 2 weeks ago still has me devastated. Lost mom, dad and sister all to #COVID__19 now our leaders are spreading it to the innocent families. They are so deplorable. #VoteThemAllOut2020 #coronavirus #CovidDeaths #SuperSpreader","[{'text': 'COVID19', 'indices': [57, 65]}]",2020-10-10 16:20:04
"New York, NY","Attention families! 🔎 Have questions about COVID-19 testing in school buildings? How we’re keeping students and staff safe? Ask away! 📢Hashtag your question with #NYCOfficeHours, then join us on Tuesday with Dr. Jay Varma for live answers. https://t.co/AQmFxafZcn","[{'text': 'NYCOfficeHours', 'indices': [162, 177]}]",2020-10-10 16:20:02
New York,"Sometimes, the joys just write themselves.

https://t.co/k2zOEmAlb0",[],2020-10-10 16:20:00
"New York, NY","President Trump says he would ""love"" to donate plasma to help COVID-19 patients https://t.co/5kH9YUruxp",[],2020-10-10 16:19:58
San Francisco Bay Area,I know the parents of kids who take COVID-19 tests to go to school. It doesn’t seem unreasonable to ask a senator to do so before participating in a debate. This is just basic science during a pandemic.,[],2020-10-10 16:19:55
"San Francisco, CA","The American people are in desperate need of COVID-19 relief.

That’s why House Dems have passed the #HeroesAct.

Twice.

Trump and Senate Republicans are still missing in action.

SHAMEFUL.","[{'text': 'HeroesAct', 'indices': [118, 128]}]",2020-10-10 16:19:54
"New York, USA","👀

“I could be one of the diers,” he said.
‘...it was a classic Trumpism, at once sinister and childlike. If being a loser was bad, being a dier was a lot worse. Losers can become winners again. Diers are losers forever.’

#Vote #BidenHarris2020
https://t.co/AhwOLpWt7u",[],2020-10-10 16:19:49
"New York, NY","I demand that @LindseyGrahamSC be tested for Covid-19 by an impartial professional and that he reveal the results before he returns to the Senate in any capacity. Everyone at Amy Coney Barrett's hearing should also be tested and cleared. 

Re-tweet it you agree.",[],2020-10-10 16:19:41
"Chicago, IL","Today I joined @SenatorLeahy and @SenBooker in demanding that all senators on the Judiciary committee get tested for COVID-19 ahead of the Supreme Court hearings.

This is the bare minimum to ensure the safety of members, our staff, and the Senate complex employees.",[],2020-10-10 16:19:34
Los Angeles,COVID-19: How 3 Prior Pandemics Triggered Massive Societal Shifts https://t.co/QVOrzmuraF,[],2020-10-10 16:19:27
Miami,"@JoeBiden ""Contact tracing and visualizing the people exposed to COVID-19 by Trump outbreak""
😷
https://t.co/LS0d2Ikc1R",[],2020-10-10 16:19:25
Miami Beach SoBe La Playa,REMINDER: trump accused Gold Star families of giving him COVID-19 after he invited them to a mask-less super spreader event at the White House.,[],2020-10-10 16:19:15
Los Angeles,"In an unprecedented move, the editors of the New England Journal of Medicine have condemned the Trump administration for its response to the Covid-19 pandemic — and calling for the current US leadership to be voted out of office https://t.co/xnM5X4Yi85",[],2020-10-10 16:19:06
Miami,"@GOPChairwoman ""Contact tracing and visualizing the people exposed to COVID-19 by Trump outbreak""
😷
https://t.co/LS0d2Ikc1R",[],2020-10-10 16:19:04
"New York, USA","President Trump will not receive any medical bills for his COVID-19 treatment. 

Neither should any of us.",[],2020-10-10 16:19:04
"Chicago, IL",Fansville reported a 48% week over week increase in COVID-19 cases. Public health officials are blaming a super-spreader event held when Dr. Pepper separatists gathered at town hall to protest the introduction of Mountain Dew to school lunches. Just a really sad situation there,[],2020-10-10 16:19:01
new york,"#LindseyIsPositive. There is no other possible reason he would REFUSE a #COVID__19 TEST before his debate with @harrisonjaime .  #LindseyGraham doesn’t care if he infects South Carolinians with a lethal highly contagious virus that has killed 30,000 people TODAY. https://t.co/KRrAWu3lFs","[{'text': 'LindseyIsPositive', 'indices': [18, 36]}, {'text': 'COVID__19', 'indices': [90, 100]}]",2020-10-10 16:19:00
