location,text,hashtags,tweetcreatedts
Los Angeles,"To everyone who is barely hanging onto their homes, who has lost a loved one to COVID-19, who has no way to pay the bills: know that instead of voting to provide relief you desperately need, Senate Republicans today are choosing to hold a hearing to confirm a judge.",[],2020-10-12 16:46:32
"Chicago, IL","Senior Writer Katherine Leahy examines the civil war in Yemen, the history of the country, and how COVID-19 has affected Yemen and its citizens. 

https://t.co/z2s1JEOqPh",[],2020-10-12 16:46:28
"Los Angeles, CA","Repost:
This seems newsworthy.

WHO warns against COVID-19 lockdowns due to economic damage https://t.co/Z7S1SdUV1R via @nypost",[],2020-10-12 16:46:26
"Los Angeles, CA","#AmyComeyBarrett has proven herself to be #UnfitToServe by her willingness to be installed under questionable circumstances, appointed by a despot who is #ImpeachedAndInfected &amp; confirmed by feverish traitors who are supposed to be in #Covid #quarantine to protect public health. https://t.co/tQUqmap8C9","[{'text': 'AmyComeyBarrett', 'indices': [16, 32]}, {'text': 'UnfitToServe', 'indices': [58, 71]}]",2020-10-12 16:46:24
"Miami, FL",Experts fear rising COVID-19 cases could be the start of a “second wave.” https://t.co/vVW2of5HWg,[],2020-10-12 16:46:12
"San Francisco, CA",October 11 COVID-19 Test Results https://t.co/OH5YpHdFqt Not good. Buckle up! https://t.co/dDiO38iSSa,[],2020-10-12 16:46:06
Los Angeles,"Here's your cure to #ManicMonday: a masterful video commissioned by @TheHuntington, created by Tang Qingnian. Video link in comments! 

#MondayVibes #mondaythoughts #lockdown #therapy #art #music #MusicMonday #DatingTips #dating 

https://t.co/70SapD6fBG https://t.co/gGIhsSZ7h4","[{'text': 'ManicMonday', 'indices': [20, 32]}, {'text': 'MondayVibes', 'indices': [136, 148]}, {'text': 'mondaythoughts', 'indices': [149, 164]}, {'text': 'lockdown', 'indices': [165, 174]}, {'text': 'therapy', 'indices': [175, 183]}, {'text': 'art', 'indices': [184, 188]}, {'text': 'music', 'indices': [189, 195]}, {'text': 'MusicMonday', 'indices': [196, 208]}, {'text': 'DatingTips', 'indices': [209, 220]}, {'text': 'dating', 'indices': [221, 228]}]",2020-10-12 16:46:02
"Chicago, IL","All of the little signals that they don't take COVID-19 seriously are damaging from a public health perspective, but likely also politically damaging to Trump and the GOP. Polls make it clear that a majority of Americans know they can't just wish COVID out of their lives. https://t.co/CD5rduGqpn",[],2020-10-12 16:45:59
"San Francisco, CA","Our daily update is published. States reported 944k tests, 47k cases, 34k currently hospitalized, and 464 COVID-19 deaths, with six states not reporting today: CT, KS, MI, MO, NH, RI. https://t.co/tNvtsFLBoF",[],2020-10-12 16:45:59
"Los Angeles, CA","Covid-19 cases are rising in North Dakota, and hospitals are struggling to meet the demand for care, with fewer than 20 beds available across the state. Follow live updates: https://t.co/Vwel6xm49T https://t.co/kGR5xZX4lg",[],2020-10-12 16:45:57
