"","location","text","hashtags","tweetcreatedts"
"58","New York","cdc recognises published reports showing limited circumstances covid infected others feet","[]",2020-10-05
"59","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"60","Los Angeles","wife doesn t believe kayleigh mcenany trump staff covid thinks saying trump really really doesn t m inclined agree especially leaves walter reed today","[]",2020-10-05
"61","San Francisco","covid pandemic visible known along caregiving makes society economy function yet persistently devalued senate pass","[]",2020-10-05
"62","New York","breaking pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later superspreader event","[]",2020-10-05
"63","New York","senate gop s covid case complicates relief bill","[{'text': 'DonaldTrump', 'indices': [82, 94]}]",2020-10-05
"64","New York","trump receiving dexamethasone steroid cdc suggest infectious days icu nurse dealing covid trump quarantine least days talking","[]",2020-10-05
"65","San Francisco","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"66","New York","let s ratio idiot trump wants credit amp admiration response fine praise blame american donald trump controlled countries response attitude towards covid failed s sugarcoat","[]",2020-10-05
"67","San Francisco","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"68","Chicago","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"69","Chicago","covid kill americans december researchers s fall winter better","[]",2020-10-05
"70","San Francisco","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"71","New York","caleb saint surin brooklyn york died covid april paraprofessional ps brooklyn expertise enthusiasm mathematics wore students","[]",2020-10-05
"72","New York","tracking covid infections among president trump s contacts","[]",2020-10-05
"73","New York","gov andrew cuomo announced monday state temporarily close public private schools tuesday nine brooklyn queens zip codes experiencing troubling rise coronavirus cases","[]",2020-10-05
"74","Los Angeles","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"75","New York","arkansas school superintendent dies covid","[]",2020-10-05
"76","San Francisco","video kayleigh mcenany yesterday taking mask talking group journalists today tested positive covid absolute reckless disregard safety","[]",2020-10-05
"77","New York","energized build movement m running city council district community voices heardto provide education every child protect tenants rights ensure economic recovery covid works","[]",2020-10-05
"78","San Francisco","york times reporter infected covid says white doing contact tracing","[]",2020-10-05
"79","New York","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"80","Los Angeles","memo defuse panic trumps covid","[]",2020-10-05
"81","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"82","New York","ads alright trump republicans playing games course covid growing death getting realize paid","[]",2020-10-05
"83","Miami","boost article fresh tips done feel less stressed mine","[{'text': 'pandemic', 'indices': [37, 46]}, {'text': 'productivity', 'indices': [47, 60]}]",2020-10-05
"84","Los Angeles","fake real amp physically unfit allegedly contracts amp symptoms let alone die","[{'text': 'ViRuS', 'indices': [27, 33]}]",2020-10-05
"85","Miami","breaking reports attorney general bill bar tested positive covid debunked fake","[]",2020-10-05
"86","Chicago","please let wonders cell detract fact stolen without permission being used today research covid","[]",2020-10-05
"87","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"88","Chicago","reports bill barr tested positive covid fake","[]",2020-10-05
"89","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"90","Chicago","breaking reports attorney general bill bar tested positive covid debunked fake","[]",2020-10-05
"91","New York","mcenany briefed reporters presidents condition sunday night wearing mask","[]",2020-10-05
"92","New York","breaking news white press secretary kayleigh mcenany covid others white press office","[]",2020-10-05
"93","Miami","msm might actual stats cdc amp next insist handled covid terribly facts opposite true","[]",2020-10-05
"94","Miami","presidents dont covid","[]",2020-10-05
"95","Los Angeles","latest misanthropic behavior expect am delighted themselves once everything else last years including cavalier disregard public health since covid warnings issued nsc","[]",2020-10-05
"96","New York","please forever remember took precaution film swore start mass shooting covid entire","[]",2020-10-05
"97","New York","ve mocking months wearing mask due own stupidity arrogance mocking joe catching deadly highly infectious disease huh","[{'text': 'JoeBiden', 'indices': [21, 30]}, {'text': 'SocialDistancing', 'indices': [65, 82]}, {'text': 'TyphoidTrump', 'indices': [96, 109]}, {'text': 'COVID19', 'indices': [114, 122]}]",2020-10-05
"98","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"99","Los Angeles","watch biden jogs stairs board airplane trump recovers covid hospital","[]",2020-10-05
"100","Los Angeles","tonight tested negative covid dont care continue far month quarantine immediately together","[]",2020-10-05
"101","New York","u u u u overcome covid together u u trade commissioner tells means supporting jobs growth minnesota already exports billion uk annually","[]",2020-10-05
"102","New York","tracking covid infections among president trump s contacts","[]",2020-10-05
"103","New York","empty chairs outside white covid remembrance","[]",2020-10-05
"104","Chicago","fact donald trump contracted covid proof term super spreaders specifically apply mask deniers social distance complainers","[]",2020-10-05
"105","New York","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"106","Chicago","trump hospitalized covid trump s department transportation rejected afl cio s request require passengers wear masks planes trains buses","[]",2020-10-05
"107","San Francisco","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"108","Chicago","trumps covid timeline","[]",2020-10-05
"109","Los Angeles","trumps covid timeline","[]",2020-10-05
"110","New York","remember navy captain lost job worried crew spread covid captain brett crozier yep april","[]",2020-10-05
"111","New York","vulnerable gop senator says trump let guard covid","[]",2020-10-05
"112","Chicago","breaking pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later superspreader event","[]",2020-10-05
"113","Los Angeles","news confirmed pastor greg laurie harvest christian fellowship riverside california tested positive covid pastor laurie prayer march mall mike pence franklin graham acb rose garden event later","[]",2020-10-05
"114","New York","york times reporter infected covid says white doing contact tracing","[]",2020-10-05
"115","Los Angeles","trump clearly ordered personal doctors lie nation covid condition","[]",2020-10-05
"116","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"117","New York","trumps covid timeline","[]",2020-10-05
"118","New York","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"119","San Francisco","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"120","Los Angeles","rt lisastylegirl rt recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"121","Chicago","trumps covid timeline","[]",2020-10-05
"122","Los Angeles","wasn t going let covid stop voting","[]",2020-10-05
"123","San Francisco","twitter spent weekend making breaking terrible offensive aids covid comparisons elizabeth breunig waltzes monday morning absolutely dominates genre","[]",2020-10-05
"124","New York","reliant nrg company proud power community health center meeting needs underserved communities struggling under strains covid chronic illnesses","[{'text': 'blackownedbusiness', 'indices': [69, 88]}]",2020-10-05
"125","Los Angeles","recorded cases covid white zealand taiwan vietnam combined million let sink","[]",2020-10-05
"126","Los Angeles","trumps covid timeline","[]",2020-10-05
"127","Los Angeles","trumps covid timeline","[]",2020-10-05
"128","New York","members white recklessly risked exposing press corps covid official response organization supposedly holding admin account soon","[]",2020-10-05
"129","Los Angeles","attend todays cdc covid partner update mon oct et via zoom topic wear dont share art science cloth masks register","[]",2020-10-05
"130","Los Angeles","cdc report known covid exposure tested negative rapid antigen test family vacation households four states ages got covid family visited amp stayed outside","[]",2020-10-05
"131","Los Angeles","u u fe thursday d close contact infected person hope hicks junior staffers tested positive yet wh met reporters yesterday while wearing mask u","[{'text': 'coronavirus', 'indices': [106, 118]}]",2020-10-05
"132","New York","u u u fe important u u fe u cdc updates website confirm airborne transmission covid","[]",2020-10-05
"133","Chicago","says whos covid treatment composed embryonic stem cells","[]",2020-10-05
